title,company,location,description,salary
Python Developer,TCS,Hyderabad,Backend development using Django,6 LPA
Java Developer,Infosys,Bangalore,Spring Boot enterprise apps,7 LPA
Frontend Developer,Wipro,Chennai,React web development,5 LPA
Data Analyst,Accenture,Pune,Data cleaning and visualization,8 LPA
ML Engineer,HCL,Noida,Machine learning model deployment,10 LPA
UI Designer,Cognizant,Hyderabad,Design web interfaces,6 LPA
Backend Developer,TechMahindra,Bangalore,API development,7 LPA
QA Engineer,Capgemini,Pune,Software testing automation,5 LPA
Android Developer,Zensar,Mumbai,Mobile app development,6 LPA
Data Scientist,IBM,Bangalore,Advanced analytics,12 LPA
